anvisningsenhedsNummer;anvisningsenhedsNavn;dawaID;vejNavn;husNummer;supplerendeBynavn;postNummer;byNavn;kommuneKode;etage;doer;geoBredde;geoLaengde;vejKode;instType3;email;telefonNummer;cvrNummer;pNummer;senestOpdateret;daginstitutionsNummer
G18188;Klatretræet Sundhed-Bevægelse;0a3f50b8-59b1-32b8-e044-0003ba298018;Engdraget;8;;7190;Billund;530;;;55.71676953;9.11303462;138;6012;BU-Billund@Billund.dk;25557732;29189765;1016771089;09-03-2023 12:30:04;E18176
G18189;Børnenes Univers Billund;0a3f50b8-59b1-32b8-e044-0003ba298018;Engdraget;8;;7190;Billund;530;;;55.71676953;9.11303462;138;6012;;72131426;29189765;1016771089;01-12-2021 10:26:03;E18176
G18191;Trætoppen Kreativitet & Udeliv;0a3f50b8-59b1-32b8-e044-0003ba298018;Engdraget;8;;7190;Billund;530;;;55.71676953;9.11303462;138;6012;BU-Billund@Billund.dk;25557730;29189765;1016771089;09-03-2023 12:30:05;E18176
G25197;Gyngetræet Bevægelse og bæredygtighed;480f2497-3d3e-4585-9837-476a83385401;Nordmarksvej;1;;7190;Billund;530;;;55.72897339;9.13200766;462;6012;;25557723;29189765;1029168489;15-06-2023 10:00:48;E18176
G20751;Børnehuset Lærkereden;0a3f5081-c40c-32b8-e044-0003ba298018;Klostergårdsvej;4;Øm;4000;Roskilde;350;;;55.59720744;12.01556063;387;6014;Doskj@lejre.dk;20586227;29188548;1003287286;01-12-2021 10:26:03;E18184
G18549;Børnehuset Møllehuset;0a3f50aa-d6fa-32b8-e044-0003ba298018;Skolevang;3;Kirke Sonnerup;4060;Kirke Såby;350;;;55.65005724;11.82127836;649;6014;moellehuset@lejre.dk;24960714;29188548;1003284950;02-09-2022 08:00:08;E18185
G18199;Børnehuset Solsikken;4075fcdb-97a7-4032-9950-dddee3cd7c76;Fjordager;82;Gevninge;4000;Roskilde;350;;;55.64750834;11.95219892;404;6014;solsikk@lejre.dk;21440390;29188548;1014779910;01-12-2021 10:26:03;E18189
G18470;Børnehuset Trehøje;0a3f50ac-29d2-32b8-e044-0003ba298018;Troldehøj;2;;4000;Roskilde;265;;;55.64266599;12.05003886;8687;6012;bhtrehøje@roskidle.dk;46314793;29189404;1003288609;01-12-2021 10:26:03;E18243
G18473;Børnehuset Skovmosen;0a3f50ac-2dac-32b8-e044-0003ba298018;Vestergade;104;;4000;Roskilde;265;;;55.64502015;12.05396789;9098;6012;skovmosen@roskilde.dk;46314750;29189404;1003288610;01-12-2021 10:26:03;E18243
G18476;Børnehuset Mælkebøtten;fa63eac9-6dbc-453c-b532-70a8dd0c2f47;Æblehaven;76;;4000;Roskilde;265;;;55.63103483;12.06128571;9450;6012;bhmaelkeboetten@roskilde.dk;46314080;29189404;1003288671;01-12-2021 10:26:03;E18243
G18462;Børnehuset Bella Luna;0a3f50ab-f770-32b8-e044-0003ba298018;Kornvej;1;;4000;Roskilde;265;;;55.64164535;12.04342569;4309;6012;bella_luna@roskilde.d;46314989;29189404;1008316607;01-12-2021 10:26:03;E18243
G18466;Børnehuset Peblingevej;0a3f50ac-0deb-32b8-e044-0003ba298018;Peblingevej;2B;;4000;Roskilde;265;;;55.64198967;12.05088436;6142;6012;;46314730;29189404;1004353367;02-05-2023 10:00:11;E18243
G18650;Børnehaven Bredgade;ba4501a5-746d-4752-ab9c-5b0e1bd91b8c;Bredgade;17b;;4000;Roskilde;265;;;55.63909202;12.07887413;721;6011;bredgade17@roskilde.dk;46314949;29189404;1003287808;01-12-2021 10:26:03;E18243
G18942;Børnehuset Bullerby;0a3f50ab-d189-32b8-e044-0003ba298018;Ejboparken;6;;4000;Roskilde;265;;;55.62987798;12.06300953;1523;6012;bullerby@roskilde.dk;46316468;29189404;1003082527;01-12-2021 10:26:03;E18243
G20598;Børnehuset Hørgården;0a3f5081-f978-32b8-e044-0003ba298018;Hørhusene;61;;4000;Roskilde;265;;;55.64929974;12.04640971;3466;6012;hoergaarden@roskilde.dk;46316664;29189404;1015733426;01-12-2021 10:26:03;E18243
G18492;Gadegården-KlubRoskildeØst;0a3f50ab-e900-32b8-e044-0003ba298018;Himmelev Bygade;15;Himmelev;4000;Roskilde;265;;;55.65901223;12.10727181;3126;6021;gadegaarden@roskilde.dk;46316261;29189404;1003288087;01-12-2021 10:26:03;E18289
G18494;Nymarksgård-KlubRoskildeØst;0a3f50ab-eece-32b8-e044-0003ba298018;Joensuuvej;1;Himmelev;4000;Roskilde;265;;;55.65606458;12.12828554;3625;6021;klubtrekroner@roskilde.dk;46317733;29189404;1012862632;01-12-2021 10:26:03;E18289
G18799;Nødebo Børnehus;a27b8c2d-9848-47ae-ba02-3c406c0336cf;Sportsvej;32;Nødebo;3480;Fredensborg;219;;;55.97801719;12.34391435;8136;6012;;72324150;23210614;1006387120;01-12-2021 10:26:03;E18290
G18835;Dåstrup-KlubRoskildeSyd;54669ed2-6006-47f9-a19d-b9ad55cfed6e;Bueager;8;Dåstrup;4130;Viby Sjælland;265;;;55.55450041;12.01778753;88;6021;daastrup_fritidsklub@roskilde.dk;46318540;29189404;1007527884;01-12-2021 10:26:03;E18310
G18496;Hjørnet-KlubRoskildeSyd;0a3f50ab-bf1d-32b8-e044-0003ba298018;Ørstedvej;61A;;4130;Viby Sjælland;265;;;55.54541564;12.03718887;780;6021;hjornet@roskilde.dk;46318458;29189404;1003287572;01-12-2021 10:26:03;E18310
G20603;Gadstrup-KlubRoskildeSyd;0a3f50ab-b9fd-32b8-e044-0003ba298018;Ramsømaglevej;21;;4621;Gadstrup;265;;;55.56932017;12.08522579;527;6021;gadstrup_fritidsklub@roskilde.dk;46318520;29189404;1003993432;01-12-2021 10:26:03;E18310
G21050;BØRNEHUSET BAUNEGÅRD;42235156-8ae9-482d-b534-d258cafb0b62;Gamle Landevej;47;;2620;Albertslund;165;;;55.68011066;12.3418974;133;6012;baunegaard@albertslund.dk;43646620;66137112;1003266486;01-12-2021 10:26:03;E18311
G21075;Klub Baunegård;42235156-8ae9-482d-b534-d258cafb0b62;Gamle Landevej;47;;2620;Albertslund;165;;;55.68011066;12.3418974;133;6021;;43645436;66137112;1003266486;01-12-2021 10:26:03;E18311
G18467;Præstø Børnehus Afd. Nøddebo;d92c6152-976e-4a3b-8cf0-582cfda77844;Rødegårdsvej;92;;4720;Præstø;390;;;55.1150055;12.06290726;1356;6012;khou@vordingborg.dk;55363080;29189676;1003304392;08-11-2022 10:30:15;E18318
G18644;Præstø Børnehus afd.Tusindfryd;b93c9fa5-cdfb-4635-adbc-f8afe948d416;Egelyvej;12;;4720;Præstø;390;;;55.11787108;12.05591709;285;6012;;55363070;29189676;1004335736;01-12-2021 10:26:03;E18318
G18500;Firkløveren;0a3f5084-7460-32b8-e044-0003ba298018;Skanderborgvej;9;;4200;Slagelse;330;;;55.41989947;11.36250297;1463;6012;skanderborgvej@slagelse.dk;58502056;29188505;1004399119;24-05-2023 11:00:02;E18333
G18649;Børnehuset Nordlys;0a3f50b1-b127-32b8-e044-0003ba298018;Haminavej;17;;4760;Vordingborg;390;;;55.01383783;11.91687901;518;6012;;55374129;29189676;1017038792;01-12-2021 10:26:03;E18337
G20989;Børnehuset Damgården;cce76565-029f-4563-b9fb-9fa4c675ea29;Damgårdsvej;22;;2620;Albertslund;165;;;55.66668565;12.35086533;65;6012;bhu.damgaarden@albertslund.dk;43642502;66137112;1017329185;20-07-2022 13:00:12;E18341
G21074;BØRNEHUSET STENSMOSEN;f401f2f4-9b11-4bfb-9855-6d1b1aae27d6;Stensmosevej;12;;2620;Albertslund;165;;;55.66690917;12.35624015;495;6012;stensmosen.bh@albertslund.dk;43640369;66137112;1003266942;01-12-2021 10:26:03;E18345
G18474;Børnehuset Mejemarken;475448e6-9aad-47ac-a174-0a34a98bfe79;Rynkebjerg;10;;4760;Vordingborg;390;;;55.04195011;11.96922893;1340;6012;;55364560;29189676;1003306863;01-12-2021 10:26:03;E18351
G20804;Birkelunden;ea194cc5-36c5-437b-b26d-8abc77b89c83;Baldersvej;18;Slagelse;4200;Slagelse;330;;;55.40753504;11.38430587;92;6012;Birkelunden@slagelse.dk;40122647;29188505;1003296247;21-03-2022 10:45:15;E18362
G18505;Dalmose daginstitution;e8231ac4-3d3a-45da-a25b-e04adb6b0c31;Vemmeløsevej;40;;4261;Dalmose;330;;;55.29743804;11.41777281;1987;6012;;58574160;29188505;1003993729;01-12-2021 10:26:03;E18380
G18509;Lilleskov;e7617fc0-740e-4b72-87fe-6134646a332d;Lilleskovvej;3;;4220;Korsør;330;;;55.32187215;11.15654735;985;6012;;24790515;29188505;1004005274;18-01-2023 09:30:10;E18410
G18683;Storebæltsvej;96d0c2af-6d23-4835-9983-582e23218eee;Storebæltsvej;5;;4220;Korsør;330;;;55.35559288;11.13275078;1671;6012;;58350066;29188505;1004005262;26-09-2022 08:30:12;E18419
G20808;Kildebakken;d33edecf-3924-4e64-a6c3-5736b61d0a92;Kildebakken;7;;4220;Korsør;330;;;55.35833843;11.17423536;831;6012;kibru@slagelse.dk;58380738;29188505;1003294451;22-05-2023 08:00:04;E18419
G18510;Hesselgården;f5b52312-7ab3-4936-b737-4039164447fa;Sorøvej;74;;4230;Skælskør;330;;;55.26103674;11.3101186;1619;6012;;58574343;29188505;1003296132;01-12-2021 10:26:03;E18428
G18688;Fritidsklubben Marievang;0a3f5084-6c0a-32b8-e044-0003ba298018;Marievangsvej;53;;4200;Slagelse;330;;;55.39920805;11.32844545;2140;6021;;58525380;29188505;1003296697;01-12-2021 10:26:03;E18439
G18685;Børnehaven Benediktevej;90dc2b6e-0f9c-43f4-986f-384072937ffa;Benediktevej;1;;4200;Slagelse;330;;;55.39426434;11.33007069;118;6022;;58527578;29188505;1003290560;13-12-2021 13:22:57;E18451
G18633;Tranemosegård - dagplejen;3b749fc6-9fd0-4972-8f0f-ff185cba6377;Bygaden;35;;2605;Brøndby;153;;;55.64802159;12.40908877;96;6013;;;65113015;1017044768;01-12-2021 10:26:03;E18533
G18635;Sommerfuglene - dagplejen     ;0a3f50a3-5ee7-32b8-e044-0003ba298018;Horsedammen;42;;2605;Brøndby;153;;;55.66435898;12.42986839;243;6013;;43282599;65113015;1017044768;01-12-2021 10:26:03;E18533
G18867;Mariehønsene - dagplejen      ;0a3f50a3-5ee7-32b8-e044-0003ba298018;Horsedammen;42;;2605;Brøndby;153;;;55.66435898;12.42986839;243;6013;;43282599;65113015;1017044768;01-12-2021 10:26:03;E18533
G18868;Muslingerne - dagplejen       ;0a3f50a3-5ee7-32b8-e044-0003ba298018;Horsedammen;42;;2605;Brøndby;153;;;55.66435898;12.42986839;243;6013;;43282599;65113015;1017044768;01-12-2021 10:26:03;E18533
G18627;Antvorskov børnegård;0a3f50ae-7c70-32b8-e044-0003ba298018;Anholtvej;5;;4200;Slagelse;330;;;55.39273339;11.3542454;40;6012;;51409110;29188505;1004005407;01-12-2021 10:26:03;E18534
G21452;Børnehuset Baunevangen;0a3f50a5-7ed9-32b8-e044-0003ba298018;M Bechs Alle;8A;;2650;Hvidovre;167;;;55.65505288;12.47200152;5585;6012;bornehusetbaunevangen@hvidovre.dk;36751915;55606617;1003268040;01-12-2021 10:26:03;E18535
G18553;Børnehuset Skovvejen;0a3f50ab-530c-32b8-e044-0003ba298018;Skovvej;14;;4330;Hvalsø;350;;;55.58761784;11.86369372;665;6014;skovvejen@lejre.dk;29361719;29188548;1003286382;10-02-2022 16:30:06;E18542
G18663;SCT. GEORGGÅRDENS VUGGESTUE;e8d21ddb-51ba-4af9-a784-7b94a66efeb3;Lindehaven;5;Taastrup;2630;Taastrup;169;;;55.64203586;12.28908924;4486;6010;;43353110;36576537;1020386432;01-12-2021 10:26:03;E18551
G18669;BØRNEHUSET SKOVEN;048c0da0-96c6-48fc-bbff-a70d10e2cbf5;Kirkestien;2;Sengeløse;2630;Taastrup;169;;;55.68180818;12.24381726;3800;6012;;43353205;36576537;1020386459;13-04-2022 05:00:14;E18551
G18825;VUGGESTUEN REFMOSEGÅRD;4a89b151-b0f7-4dfd-ab62-54f54124535b;Møllevej;10;Fløng;2640;Hedehusene;169;;;55.66088709;12.1838837;5251;6010;susanneal@htk.dk;43353100;36576537;1023857614;03-06-2022 11:00:07;E18551
G21863;BØRNEHAVEN REFMOSEGÅRD;4a89b151-b0f7-4dfd-ab62-54f54124535b;Møllevej;10;Fløng;2640;Hedehusene;169;;;55.66088709;12.1838837;5251;6011;;43353192;36576537;1020386416;01-12-2021 10:26:03;E18551
G21864;DAGINSTITUTIONEN GRØNHØJ;ee8dd977-9cfb-4e43-8750-4a9b47e87f80;Mølleholmen;1;;2630;Taastrup;169;;;55.64331845;12.32702785;5197;6012;;43353370;36576537;1020331565;01-12-2021 10:26:03;E18551
G21903;BØRNEHAVEN KORSHAVEGÅRD;eb1a956c-6aeb-44b2-bd2e-cddd0a040858;Magnoliavej;5;Fløng;2640;Hedehusene;169;;;55.65798519;12.18437342;4926;6011;;43353180;36576537;1020386335;01-12-2021 10:26:03;E18551
G21913;MAGDA BØRNEHAVEN;aa02f527-7484-4a60-9e50-261cab9c36c0;Magdavænget;2;;2630;Taastrup;169;;;55.6445103;12.29785769;4818;6011;;43353200;36576537;1020386408;01-12-2021 10:26:03;E18551
G24249;Dagplejen;85b58b49-8319-43bd-b78c-439b4cda2d6d;Torstorpvej;1;Høje Taastrup;2630;Taastrup;169;;;55.63852923;12.27403766;8600;6013;;;19501817;1015776850;01-12-2021 15:00:05;E18563
G20450;Børnehuset Bøgebjerg;ccfe0594-3879-4381-9a09-5457060792b2;Sværdborgvej;11;;4750;Lundby;390;;;55.10757922;11.88353627;1682;6012;;55363857;29189676;1003306978;01-12-2021 10:26:03;E18576
G20731;Flakkehaven;0a3f50ac-fffe-32b8-e044-0003ba298018;Flakkebjerg Hovedgade;40;Flakkebjerg;4200;Slagelse;330;;;55.30850811;11.39505577;418;6012;;58186603;29188505;1003292253;01-12-2021 10:26:03;E18580
G18654;Børnehuset Mælkevejen;f808cdd9-3dda-43f8-934c-33486401bf92;Parkvej;20;;4760;Vordingborg;390;;;55.00247748;11.90306408;1212;6012;fkla@vordingborg.dk;21640980;29189676;1003306851;01-12-2021 10:26:03;E18588
G18680;Troldebo;73c6f9d6-1ebe-0b24-e044-00144f3ead67;Skovvej;122B;;4220;Korsør;330;;;55.32290401;11.19082169;1508;6012;troldebo@slagelse.dk;58352130;29188505;1004005249;01-12-2021 10:26:03;E18589
G20675;Børnehuset Grønnevej;8f20872f-71c6-4b0f-831e-2da4a69d51a3;Grønnevej;245;;2830;Virum;173;;;55.78458226;12.4773981;302;6012;gronnevej@ltk.dk;45285900;73833116;1003270366;01-12-2021 10:26:03;E20622
G21447;Vuggestuen Ugandavej;86d960e8-be33-4810-9c9e-5df22403ee30;Ugandavej;147;;2770;Kastrup;185;;;55.60257059;12.58084247;2765;6010;vuuga.bk@taarnby.dk;24985885;20310413;1007810128;25-04-2022 09:30:07;E21370
G21489;Børnehuset Stavlundvej;19c3d9f1-21f8-4efe-9e4b-c6fa42cf8053;Stavlundvej;29;;2770;Kastrup;185;;;55.61182262;12.59217845;2520;6012;dasta.bk@taarnby.dk;30760695;20310413;1007808484;01-12-2021 10:26:03;E21394
G21937;Dagplejen Hørning;39778c78-5ec1-43b4-8fa8-d2a5805825c8;Skanderborg Fælled;1;;8660;Skanderborg;746;;;56.04977178;9.96301053;1346;6013;dagplejen@skanderborg.dk;87947316;29189633;1010576977;01-12-2021 10:26:03;E21682
G21938;Dagplejen Voerladegård;39778c78-5ec1-43b4-8fa8-d2a5805825c8;Skanderborg Fælled;1;;8660;Skanderborg;746;;;56.04977178;9.96301053;1346;6013;dagplejen@skanderborg.dk;87947316;29189633;1010576977;01-12-2021 10:26:03;E21682
G21940;Dagplejen Ry, Gl. Rye og Bjedstrup;39778c78-5ec1-43b4-8fa8-d2a5805825c8;Skanderborg Fælled;1;;8660;Skanderborg;746;;;56.04977178;9.96301053;1346;6013;;;29189633;1010576977;01-12-2021 10:26:03;E21682
G21942;Dagplejen Veng/Stjær;39778c78-5ec1-43b4-8fa8-d2a5805825c8;Skanderborg Fælled;1;;8660;Skanderborg;746;;;56.04977178;9.96301053;1346;6013;dagplejen@skanderborg.dk;87947316;29189633;1010576977;01-12-2021 10:26:03;E21682
G21888;Dagplejen Hylke/Tebstrup;39778c78-5ec1-43b4-8fa8-d2a5805825c8;Skanderborg Fælled;1;;8660;Skanderborg;746;;;56.04977178;9.96301053;1346;6013;dagplejen@skanderborg.dk;87947316;29189633;1010576977;01-12-2021 10:26:03;E21682
G21891;Dagplejen Stilling Virring;39778c78-5ec1-43b4-8fa8-d2a5805825c8;Skanderborg Fælled;1;;8660;Skanderborg;746;;;56.04977178;9.96301053;1346;6013;dagplejen@skanderborg.dk;87947316;29189633;1010576977;01-12-2021 10:26:03;E21682
G21953;Dagplejen Galten;39778c78-5ec1-43b4-8fa8-d2a5805825c8;Skanderborg Fælled;1;;8660;Skanderborg;746;;;56.04977178;9.96301053;1346;6013;dagplejen@skanderborg.dk;87947316;29189633;1010576977;01-12-2021 10:26:03;E21682
G21955;Dagplejen Låsby;39778c78-5ec1-43b4-8fa8-d2a5805825c8;Skanderborg Fælled;1;;8660;Skanderborg;746;;;56.04977178;9.96301053;1346;6013;dagplejen@skanderborg.dk;87947316;29189633;1010576977;01-12-2021 10:26:03;E21682
G21958;Dagplejen Herskind;39778c78-5ec1-43b4-8fa8-d2a5805825c8;Skanderborg Fælled;1;;8660;Skanderborg;746;;;56.04977178;9.96301053;1346;6013;dagplejen@skanderborg.dk;87947316;29189633;1010576977;01-12-2021 10:26:03;E21682
G21959;Dagplejen Højvangen;39778c78-5ec1-43b4-8fa8-d2a5805825c8;Skanderborg Fælled;1;;8660;Skanderborg;746;;;56.04977178;9.96301053;1346;6013;dagplejen@skanderborg.dk;87947316;29189633;1010576977;01-12-2021 10:26:03;E21682
G21798;Dagplejen Skanderborg Midtby og Vrold;39778c78-5ec1-43b4-8fa8-d2a5805825c8;Skanderborg Fælled;1;;8660;Skanderborg;746;;;56.04977178;9.96301053;1346;6013;;;29189633;1010576977;01-12-2021 10:26:03;E21682
G21800;Dagplejen Skovby;39778c78-5ec1-43b4-8fa8-d2a5805825c8;Skanderborg Fælled;1;;8660;Skanderborg;746;;;56.04977178;9.96301053;1346;6013;dagplejen@skanderborg.dk;87947316;29189633;1010576977;01-12-2021 10:26:03;E21682
G24173;Stordagplejen Ryparken;0a3f50c2-3c0b-32b8-e044-0003ba298018;Ryparken;15;;8660;Skanderborg;746;;;56.04086526;9.91476757;827;6013;dagplejen@skanderborg.dk;87947316;29189633;1027505704;01-12-2021 10:26:03;E21682
G23565;Børnehuset Tippethøj;0a3f5095-1f10-32b8-e044-0003ba298018;Tippethøj;1;;8680;Ry;746;;;56.08270426;9.78529913;1080;6012;;29326987;29189633;1026430638;01-12-2021 10:26:03;E21688
G21760;Birkehuset;44d35bc9-050a-40a3-9c04-16e864153a91;Brunhøjvej;11;;8680;Ry;746;;;56.08744422;9.7787834;125;6012;birkehuset@skanderborg.dk;87942175;29189633;1003358663;01-12-2021 10:26:03;E21688
G21752;Børnehuset  Kildebjerg;f5ad494c-5f3f-4637-8a84-ea6a1d5f89ad;Kildebjerg Skovvej;1;;8680;Ry;746;;;56.09333963;9.78926897;512;6012;boernehuset.kildebjerg@skanderborg.dk;87942030;29189633;1013509278;01-12-2021 10:26:03;E21688
G21756;Børnehuset Bakkely;64e1a342-06ec-4424-9833-4841d5e541f7;Bakkelyvej;1;;8680;Ry;746;;;56.0850457;9.77985523;45;6012;thomas.kaalund@skanderborg.dk;51288817;29189633;1022064033;01-12-2021 10:26:03;E21688
G22001;Børnegården Lynghoved;a328f0f3-8fbb-4ca4-b6a9-8bbf4557c2c5;Brunhøjvej;6;;8680;Ry;746;;;56.08988248;9.77670582;125;6012;Dorte.bjerrum@skanderborg.dk;87942150;29189633;1003358651;01-12-2021 10:26:03;E21688
G21890;Daginstitutionen Fugldal;147a66e0-7289-46fd-a898-40841edd142e;Isagervej;40;;8680;Ry;746;;;56.0813527;9.77887647;485;6012;fugldal@skanderborg.dk;87942040;29189633;1004209420;01-12-2021 10:26:03;E21688
G22153;Børnehuset Stadion Allé;0a3f50c1-905c-32b8-e044-0003ba298018;Stadionalle;9;;8680;Ry;746;;;56.09249398;9.76306108;974;6012;;87942045;29189633;1024792923;01-12-2021 10:26:03;E21688
G21939;Veng Børnehus;0a3f50c0-36a1-32b8-e044-0003ba298018;Søballevej;2B;Veng;8660;Skanderborg;746;;;56.09624509;9.89931908;1019;6012;veng@skanderborg.dk;87942254;29189633;1003354826;07-02-2022 13:00:07;E21745
G22101;Hundested Børnehus;ed5ed320-a51c-497f-b3fa-c05b0cd170c3;Højmarksvej;1;;3390;Hundested;260;;;55.95321126;11.87377961;1782;6012;;40220167;29188416;1019856565;01-12-2021 10:26:03;E22026
G22109;Dagplejen Hundested;6c5ece90-d1fb-4803-e044-00144f3ead67;Højbjerggårdsvej;1;;3390;Hundested;260;;;55.95384613;11.86993021;1786;6013;;;29188416;1024904357;01-12-2021 10:26:03;E22026
G22068;GLADSAXE SKOVBØRNEHAVE;4f53a48b-ea45-4b27-b091-070a1498ff63;Skovdiget;8;;2880;Bagsværd;159;;;55.76440973;12.43300381;762;6011;skovbornehave@gladsaxe.dk;44982024;24191281;1006392299;01-12-2021 10:26:03;E22033
G10662;Den Private Børnehave Højvang;10ec956b-821d-4c0e-a3d5-1935a5c13306;Skæring Hedevej;14A;;8250;Egå;751;;;56.23123758;10.29977301;7469;6014;leder@hojvangprivat.dk;81619923;33178522;1016387696;01-12-2021 08:16:33;G10661
G10664;Børnegården Solbjerg;0a3f50c3-ad7e-32b8-e044-0003ba298018;Mustrupvej;6;Astrup;8355;Solbjerg;751;;;56.03617384;10.10617649;5631;6012;dorte@bornegaarden.dk;40861882;25330390;1008803737;02-12-2021 11:57:32;G10663
G10668;Integreret institution Kareten;630cc4d2-a85d-4122-abf5-cba7d13d77a1;Bushøjvænget;125A;;8270;Højbjerg;751;;;56.10759291;10.19080095;970;6012;janne@karetenaarhus.dk;29844932;30869893;1013681933;01-12-2021 19:58:31;G10667
G10670;Rudolf Steiner / Markblomsten;9396e9b3-4045-4d3d-9d3d-4136b5e4b099;Skjoldhøjvej;15;True;8381;Tilst;751;;;56.17427823;10.11085818;7265;6011;markblomsten@markblomsten.dk;86244433;19407497;1003804016;09-12-2021 07:41:54;G10669
G10672;Selam Fri Børnehave;5f2f38ca-28ab-415a-9889-2d940847c08e;Elmegårdsvej;1;;8361;Hasselager;751;;;56.10959517;10.10956296;1713;6011;selam@selam.dk;87374010;31928117;1015049142;09-12-2021 07:42:46;G10671
G10674;Rudolf Steiner - Solhjem;265444b1-aad5-4829-a7b8-0223072973e3;Strandvejen;96;;8000;Aarhus C;751;;;56.13669202;10.2071751;8055;6012;post@solhjem-aarhus.dk;40499066;26409349;1008877064;01-12-2021 14:39:24;G10673
G10993;Aarhus International School;06aa5043-15e5-4e97-8bdd-3ce49b115611;Bushøjvænget;133;;8270;Højbjerg;751;;;56.1083627;10.18843698;970;6011;administration@ais-aarhus.dk;31519885;33633858;1016888903;01-12-2021 18:55:14;G10992
G11078;Vuggestuen Springbrættet;8ef12ec8-21f0-4dc8-aee5-bf10dbcdef0e;Thulevej;32C;;9210;Aalborg SØ;851;;;57.0212334;9.94762319;8418;6010;;;29189420;1023456792;13-06-2019 09:57:23;G11077
G11080;Privat Dui Leg Og Virke Aalborg;0a3f509c-ecf3-32b8-e044-0003ba298018;Østre Alle;89;;9000;Aalborg;851;;;57.0391811;9.94179551;9749;6010;duiaalborg@dui.dk;98122900;15589973;1000947884;02-12-2021 11:59:25;G11079
G11082;Min Lille Verden;0a3f50a2-820d-32b8-e044-0003ba298018;Lykkesholms Allé;8A;;1902;Frederiksberg C;147;;;55.67643048;12.54781289;520;6010;kontakt@minlilleverden.dk;30821165;20726881;1006209088;09-12-2021 07:24:22;G11081
G11084;Vuggestuen Evigglad;0a3f507b-46b7-32b8-e044-0003ba298018;Finsensvej;83;;2000;Frederiksberg;147;;;55.68217014;12.50201453;238;6010;vuggestuen@evigglad.net;22322464;43399012;1003074975;01-12-2021 14:43:18;G11083
G11086;Børnehaven Evigglad;22d061c3-8e7f-4d8d-a937-c10a24e7afac;Finsensvej;83;;2000;Frederiksberg;147;1;;55.68217014;12.50201453;238;6011;boernehaven@evigglad.net;38881129;46205618;1003086789;02-12-2021 12:32:51;G11085
G11088;Kvl`s Børnehus;05ffcd84-fd67-4dae-8416-0f5fae6a176e;Rolighedsvej;33;;1958;Frederiksberg C;147;;;55.68540102;12.54463703;673;6010;vuggestue@kvlsbornehus.dk;35361636;15800232;1002975560;02-12-2021 09:41:48;G11087
